,building characteristics factors,,,,,,,,,Structural and architectural factors,,,,,Financial properties factors,,,Social Factors,,Governmental Factors,,Physical/Environmental Factors,Economic factors,,,,,Output
Project 180,220,110,15,2120000,2,1,2,2,2,3,2,1,1,2,3500,10,4800,3,1,1,1,2,18.23333333,12.96666667,2,12.985,6,717500
Project 181,280,140,15,3350000,2,1,2,2,2,4,3,2,1,3,2650,12,4400,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,7,909000
Project 182,260,130,10,2450000,2,2,2,2,2,4,2,1,1,3,3800,12,5350,3,2,1,1,2,17.53333333,13.76666667,2,13.742,9,906000
Project 183,200,100,7,3450000,2,2,2,1,2,2,1,2,1,2,3900,14,5500,3,1,1,1,2,16.66666667,12.16666667,2,12.16,5,744000
Project 184,190,90,8,2550000,2,1,2,1,2,2,1,1,1,1,3800,12,5200,3,1,1,1,2,17.9,15.13333333,2,15.10033333,4,659000
Project 185,190,90,8,3470000,2,1,2,1,2,2,1,1,1,2,3500,9,5000,3,1,2,2,2,18.23333333,12.96666667,2,12.985,8,775500
Project 186,210,90,8,2480000,2,1,2,1,2,2,1,2,1,1,1900,11,3000,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,5,537000
Project 187,210,90,10,3570000,2,1,2,1,2,2,1,2,1,1,200,13,3100,3,1,1,2,2,11.66666667,8.5,2,8.489,6,739600
Project 188,250,110,25,2650000,2,2,2,2,2,3,1,2,2,3,4100,14,6000,3,1,2,1,1,14.3,4.6,2,4.624666667,17,899500
Project 189,220,105,18,3550000,2,1,2,2,1,3,2,2,1,2,3700,16,5300,1,3,2,1,2,17.9,15.13333333,2,15.10033333,13,755450
Project 190,205,100,14,3120000,2,1,2,2,1,2,2,2,1,1,1700,16,2800,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,12,470000
Project 191,180,90,12,3300000,2,2,2,1,2,2,1,2,1,1,1900,12,3000,3,1,2,2,2,12.1,9.4,3,9.414666667,7,756500
Project 192,180,90,15,2200000,2,1,2,1,2,2,1,1,1,2,1950,13,3100,3,1,1,1,2,13.06666667,12.2,2,12.181,8,757500
Project 193,180,90,8,3050000,2,1,2,1,2,2,1,1,1,3,2550,10,3850,3,1,2,1,2,15.4,18.76666667,1,18.753,5,841000
Project 194,180,90,9,3050000,2,1,2,1,2,2,1,1,1,3,2700,10,4000,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,7,877000
Project 195,210,100,8,3060000,2,1,2,1,2,3,1,1,1,3,2700,10,4000,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,7,920000
Project 196,210,100,8,2050000,2,1,2,1,2,3,1,1,1,1,1600,10,2650,3,1,2,1,2,11.86666667,11.2,1,11.21833333,9,715000
Project 197,210,100,8,2050000,2,1,2,1,2,3,2,1,1,2,1600,12,2650,3,1,2,1,2,11.86666667,11.2,3,11.21833333,8,718000
Project 198,230,115,13,3140000,2,1,2,1,2,3,2,1,1,2,1550,10,2600,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,6,755500
Project 199,240,120,15,3250000,2,1,2,1,2,3,2,1,1,2,1700,10,2750,3,1,1,1,2,11.63333333,10.6,3,10.575,6,792000
Project 200,240,120,18,3450000,2,2,2,2,2,3,2,2,2,2,1750,11,2850,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,8,794000
Project 201,280,140,17,3170000,2,1,2,2,2,4,3,2,1,3,2900,11,4300,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,7,911000
Project 202,260,130,12,2450000,2,2,2,2,2,3,3,1,1,3,3800,14,5350,3,2,1,1,2,17.53333333,13.76666667,2,13.742,9,924000
Project 203,200,100,9,3370000,2,2,2,1,2,2,1,2,1,2,3900,14,5500,3,1,1,1,2,16.66666667,12.16666667,2,12.16,5,760000
Project 204,190,90,10,2470000,2,1,2,1,2,2,1,1,1,1,3700,11,5300,3,1,1,1,2,17.9,15.13333333,2,15.10033333,4,704000
Project 205,190,90,10,3460000,2,1,2,1,2,2,1,1,1,2,3500,9,5000,3,1,2,2,2,18.23333333,12.96666667,2,12.985,8,804500
Project 206,210,90,9,2480000,2,1,2,1,2,2,1,2,1,1,1900,10,3000,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,5,549000
Project 207,210,90,12,3580000,2,1,2,1,2,2,1,2,1,1,1900,13,3000,3,1,1,2,2,11.66666667,8.5,2,8.489,6,748500
Project 208,250,110,27,2565000,2,2,2,2,2,3,2,2,2,3,4100,13,6150,3,1,2,1,1,14.3,4.6,2,4.62,16,938000
Project 209,220,105,19,3660000,2,1,2,2,1,3,2,2,1,2,3700,16,5300,1,3,2,1,2,17.9,15.13333333,2,15.10033333,13,783750
Project 210,205,100,15,3340000,2,1,2,2,1,3,2,2,1,1,1600,16,2700,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,11,460000
Project 211,175,80,22,2320000,2,1,2,2,1,2,2,2,1,2,1600,16,2800,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,16,438000
Project 212,200,80,14,3410000,1,2,1,1,2,2,1,1,1,2,1800,15,2700,1,2,1,1,2,11.63333333,10.6,2,10.575,22,405000
Project 213,200,120,15,3420000,2,1,1,2,2,3,3,2,2,3,2700,16,4300,3,3,2,2,1,15.4,18.76666667,1,18.753,11,740000
Project 214,320,110,17,3180000,2,1,2,2,2,3,2,2,1,3,3900,11,5500,1,3,2,2,1,16.66666667,12.16666667,2,12.16,13,835500
Project 215,270,120,25,2100000,2,1,2,1,1,3,2,1,1,3,4100,10,5700,1,3,2,1,1,14.3,4.6,2,4.624666667,16,920000
Project 216,190,95,31,3970000,2,2,2,2,2,2,1,1,1,2,3800,13,4950,2,2,1,1,2,17.53333333,13.76666667,2,13.742,15,708250
Project 217,240,110,27,3650000,2,1,2,1,1,3,2,2,1,2,2800,12,4100,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,22,665000
Project 218,220,110,15,3450000,2,2,2,1,2,3,2,1,1,2,3100,13,3900,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,9,642000
Project 219,240,115,18,3950000,2,2,1,2,1,3,2,2,2,3,3600,15,5500,3,2,1,1,2,17.5,14.56666667,2,14.573,11,860000
Project 220,230,115,12,3780000,2,1,2,1,2,3,2,2,1,3,2000,11,3100,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,7,846250
Project 221,180,90,14,3600000,2,2,2,1,2,2,1,2,1,1,2000,13,3200,3,1,2,2,2,12.1,9.4,3,9.414666667,8,796500
Project 222,180,90,17,2480000,2,1,2,1,2,2,1,1,1,2,2100,14,3300,3,1,1,1,2,13.06666667,12.2,2,12.181,9,795500
Project 223,180,90,10,3340000,2,1,2,1,2,2,1,1,1,3,2700,11,3900,3,1,2,1,2,15.4,18.76666667,1,18.753,6,891000
Project 224,180,90,11,3320000,2,1,2,1,2,2,1,1,1,3,2800,11,4100,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,8,907000
Project 225,210,100,9,3350000,2,1,2,1,2,3,1,1,1,3,2900,11,4200,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,8,940000
Project 226,210,100,10,2750000,2,1,2,1,2,3,1,1,1,2,1800,11,2800,3,1,2,1,2,11.86666667,11.2,1,11.21833333,10,745000
Project 227,210,100,9,2350000,2,1,2,1,2,3,2,1,1,2,1800,13,2750,3,1,2,1,2,11.86666667,11.2,3,11.21833333,9,747000
Project 228,230,115,15,3340000,2,1,2,1,2,3,2,1,1,2,1700,11,2800,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,7,794500
Project 229,240,120,17,3550000,2,1,2,1,2,3,2,1,1,2,1800,11,2900,3,1,1,1,2,11.63333333,10.6,3,10.575,7,832000
Project 230,240,120,19,3740000,2,2,2,2,2,3,2,2,2,2,1950,12,3000,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,9,844000
Project 231,200,95,14,2850000,2,1,2,2,2,2,2,2,2,2,3400,8,4600,3,3,2,2,2,17.5,14.56666667,3,14.573,7,633250
Project 232,160,75,17,1950000,2,1,2,2,2,2,1,1,2,1,3600,8,4850,1,2,1,1,2,17.53333333,13.76666667,3,13.742,8,545000
Project 233,190,85,19,3950000,2,1,2,1,2,2,1,2,2,2,3400,7,4800,1,2,1,1,2,17.5,14.56666667,2,14.573,6,592500
Project 234,210,100,17,3050000,2,2,2,1,2,3,2,1,1,1,3600,8,4850,3,2,1,1,2,17.53333333,13.76666667,3,13.742,9,685000
Project 235,220,110,19,2100000,2,2,2,1,2,3,2,1,1,2,3700,9,5000,3,1,1,1,2,16.66666667,12.16666667,2,12.16,6,763000
Project 236,250,120,9,5100000,2,2,2,2,2,3,2,2,2,1,3400,8,4800,3,3,2,2,2,17.5,14.56666667,2,14.573,9,779000
Project 237,240,120,14,6100000,2,1,2,1,2,3,2,1,1,3,3500,11,5150,3,3,2,2,2,17.9,15.13333333,2,15.10033333,11,833000
Project 238,200,100,11,4100000,2,1,2,2,2,2,2,2,1,2,2750,10,4000,3,3,2,2,2,17.23333333,30.33333333,2,30.31233333,9,590000
Project 239,230,105,7,4150000,1,1,2,2,2,3,1,2,2,1,3050,10,4400,3,2,1,1,2,19.7,26.23333333,1,26.23333333,4,660500
Project 240,210,90,7,2950000,2,1,2,2,2,2,1,1,2,1,3200,9,4400,3,3,2,2,2,19.63333333,14.93333333,2,14.928,6,575000
Project 241,220,90,6,4050000,1,2,2,1,2,2,1,2,2,2,3300,9,4700,3,2,2,2,2,18.23333333,12.96666667,2,12.985,1,602000
Project 242,225,110,7,5000000,2,1,2,2,2,3,2,2,1,2,3400,10,4800,3,2,1,1,2,17.5,14.56666667,2,14.573,3,724500
Project 243,230,105,8,3050000,1,1,2,1,2,3,2,2,1,2,2450,11,3500,1,1,1,1,2,15.4,18.76666667,1,18.753,4,529250
Project 244,200,95,13,2050000,2,2,2,1,2,2,1,2,2,2,1900,9,2800,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,7,405250
Project 245,170,80,7,1050000,1,1,2,1,2,2,1,1,1,1,1850,11,2650,1,1,1,1,2,13.06666667,12.2,2,12.181,3,341000
Project 246,200,95,11,3050000,1,2,2,2,2,2,1,2,2,2,3400,9,4600,3,2,1,1,2,17.5,14.56666667,2,14.573,2,628500
Project 247,220,110,4,2050000,2,2,2,1,2,3,2,1,2,2,3600,7,4850,3,2,1,1,2,17.53333333,13.76666667,2,13.742,3,735500
Project 248,300,100,4,4050000,2,2,2,1,2,3,2,2,2,1,3600,8,5050,1,1,1,1,2,17.53333333,13.76666667,2,13.742,3,700000
Project 249,300,75,11,4050000,1,1,2,2,2,2,1,1,1,1,3700,9,5200,1,2,1,1,2,16.66666667,12.16666667,2,12.16,6,571250
Project 250,210,100,14,2000000,1,1,2,1,2,2,2,2,1,2,2450,10,3500,1,3,1,1,2,15.4,18.76666667,1,18.753,9,515000
Project 251,280,140,19,4000000,2,2,2,1,2,4,3,2,1,2,3400,13,5000,3,2,1,1,2,17.5,14.56666667,2,14.573,11,930000
Project 252,290,140,19,4150000,2,1,2,2,2,4,3,1,1,3,3700,11,5400,3,2,1,1,2,16.66666667,12.16666667,3,12.16,9,1000000
Project 253,300,150,9,4350000,1,1,2,1,2,4,3,1,1,3,3400,9,5000,3,3,2,2,2,17.5,14.56666667,2,14.573,7,980000
Project 254,220,110,11,5350000,2,2,2,2,2,3,2,2,2,3,3700,10,5400,3,2,1,1,2,16.66666667,12.16666667,3,12.16,8,801500
Project 255,220,110,14,4350000,2,1,2,2,2,3,2,2,1,1,3500,11,5150,3,2,2,2,2,17.9,15.13333333,1,15.10033333,6,779500
Project 256,220,110,14,4650000,1,1,2,1,2,3,2,2,1,2,3400,11,5000,3,2,2,2,2,17.5,14.56666667,1,14.573,9,752000
Project 257,240,120,14,5050000,2,2,2,1,2,3,3,2,2,2,3800,9,5550,3,3,2,2,2,15.96666667,7,3,6.962666667,4,863000
Project 258,220,110,19,4050000,1,1,2,1,2,3,3,2,2,2,3400,9,5000,3,3,2,2,2,17.5,14.56666667,2,14.573,7,757500
Project 259,280,140,14,4000000,2,2,2,2,2,4,3,2,1,1,1850,11,3000,3,2,1,1,2,13.06666667,12.2,2,12.181,6,666000
Project 260,280,140,14,3000000,1,1,2,2,2,4,3,2,1,2,2750,9,4000,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,5,883000
Project 261,260,130,9,2200000,1,2,2,2,2,3,3,1,1,2,3600,12,5050,3,2,1,1,2,17.53333333,13.76666667,2,13.742,7,879000
Project 262,200,100,6,3200000,2,2,2,1,2,3,1,2,1,2,3700,12,5200,3,1,1,1,2,16.66666667,12.16666667,2,12.16,3,715000
Project 263,190,90,7,2300000,1,1,2,1,2,2,1,1,1,1,3500,9,4950,3,1,1,1,2,17.9,15.13333333,2,15.10033333,2,629000
Project 264,190,90,7,3300000,2,1,2,1,2,2,1,1,1,2,3300,7,4700,3,1,2,2,2,18.23333333,12.96666667,2,12.985,6,747500
Project 265,210,90,7,2300000,1,1,2,1,2,2,1,2,1,1,1650,8,2650,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,3,509000
Project 266,210,90,9,3410000,2,1,2,1,2,2,1,2,1,2,1700,11,2700,3,1,1,2,2,11.66666667,8.5,2,8.489,4,713500
Project 267,250,110,24,2350000,1,2,2,2,2,3,1,2,2,2,3900,11,5900,3,1,2,1,1,14.3,4.6,2,4.624666667,14,873000
Project 268,220,105,17,3350000,2,1,2,2,1,3,2,2,1,2,3500,14,4950,1,3,2,1,2,17.9,15.13333333,2,15.10033333,11,728750
Project 269,205,100,13,2950000,1,1,2,2,1,3,2,2,1,1,1400,14,2300,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,9,415000
Project 270,175,80,19,1950000,2,1,2,2,1,2,2,2,1,1,1400,14,2500,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,14,373000
Project 271,200,80,11,3050000,1,2,1,1,2,2,1,1,1,1,1600,13,2350,1,2,1,1,2,11.63333333,10.6,2,10.575,19,365000
Project 272,250,120,22,4000000,2,2,2,2,2,3,2,2,2,3,2000,13,3150,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,10,904000
Project 273,250,120,22,3800000,2,2,2,2,2,3,2,2,2,3,2000,13,3150,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,10,910000
Project 274,250,120,22,4000000,2,2,2,2,2,3,2,2,2,3,2000,13,3150,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,10,916000
Project 275,250,120,22,4600000,2,2,2,2,2,3,3,2,2,3,2250,13,3450,3,1,1,2,2,13.83333333,14.53333333,3,14.51866667,10,970000
Project 276,250,120,22,2700000,1,2,2,2,2,3,2,2,2,3,3250,13,4700,3,1,1,2,2,19.23333333,32.16666667,3,32.15333333,10,1210000
Project 277,200,100,10,5000000,2,1,2,1,2,3,2,1,1,3,3550,14,5250,3,2,1,2,2,19.63333333,14.93333333,3,14.928,6,1020000
Project 278,220,110,6,4860000,2,1,2,1,2,3,3,1,1,3,3950,12,5800,3,2,1,1,2,17.53333333,13.76666667,3,13.742,6,1137500
Project 279,220,110,8,3250000,2,2,2,1,2,3,3,1,1,3,4050,12,5250,3,2,1,1,2,16.66666667,12.16666667,3,12.16,6,1093500
Project 280,190,80,9,4200000,2,2,2,1,2,2,1,1,1,2,3750,13,5500,3,3,2,2,2,17.5,14.56666667,2,14.573,7,814000
Project 281,200,100,7,3300000,2,1,2,1,2,3,1,1,1,3,4150,12,5800,3,3,1,1,2,15.96666667,7,3,6.962666667,8,965000
Project 282,210,100,17,2330000,1,1,2,1,2,2,3,2,1,2,2800,13,4000,1,3,1,1,2,15.4,18.76666667,1,18.753,12,640000
Project 283,280,140,22,4270000,2,2,2,1,2,4,3,2,1,3,3750,14,5500,3,2,1,1,2,17.5,14.56666667,2,14.573,14,1055000
Project 284,290,140,22,4250000,2,1,2,2,2,4,3,1,1,3,4050,14,5900,3,2,1,1,2,16.66666667,12.16666667,3,12.16,12,1000000
Project 285,300,150,12,4800000,2,1,2,1,2,4,3,1,1,3,3750,11,5500,3,3,2,2,2,17.5,14.56666667,2,14.573,10,1105000
Project 286,220,110,14,5350000,2,2,2,2,2,3,2,2,2,2,4050,12,5900,3,2,1,1,2,16.66666667,12.16666667,3,12.16,11,801500
Project 287,220,110,17,4350000,2,1,2,2,2,3,2,2,1,1,3850,13,5650,3,2,2,2,2,17.9,15.13333333,1,15.10033333,9,779500
Project 288,220,110,17,4900000,2,1,2,1,2,3,2,2,1,2,3750,12,5500,3,2,2,2,2,17.5,14.56666667,1,14.573,12,752000
Project 289,240,120,17,4950000,2,2,2,1,2,3,2,2,2,2,4150,11,6050,3,3,2,2,2,15.96666667,7,3,6.962666667,7,863000
Project 290,220,110,22,4370000,2,1,2,1,2,3,2,2,2,2,3750,13,5500,3,3,2,2,2,17.5,14.56666667,2,14.573,10,882500
Project 291,280,140,17,4410000,2,2,2,2,2,4,3,2,1,1,2350,15,3700,3,2,1,1,2,13.06666667,12.2,2,12.181,9,791000
Project 292,280,140,17,3370000,2,1,2,2,2,4,3,2,1,3,3200,13,4700,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,8,1008000
Project 293,260,130,12,2700000,1,2,2,2,2,3,3,1,1,3,4050,16,5700,3,2,1,1,2,17.53333333,13.76666667,2,13.742,10,1004000
Project 294,200,100,9,3600000,2,2,2,1,2,3,1,2,1,2,4200,16,5800,3,1,1,1,2,16.66666667,12.16666667,2,12.16,6,840000
Project 295,190,90,10,2800000,1,1,2,1,2,2,1,1,1,2,3950,13,5600,3,1,1,1,2,17.9,15.13333333,2,15.10033333,5,754000
Project 296,190,90,10,3700000,2,1,2,1,2,2,1,1,1,2,3750,12,5400,3,1,2,2,2,18.23333333,12.96666667,2,12.985,9,872500
Project 297,210,90,10,2580000,1,1,2,1,2,2,1,2,1,1,2200,11,3000,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,6,509000
Project 298,210,90,12,3690000,2,1,2,1,2,2,1,2,1,1,2000,12,3100,3,1,1,2,2,11.66666667,8.5,2,8.489,7,713500
Project 299,250,110,27,2900000,1,2,2,2,2,3,1,2,2,3,4350,16,6500,3,1,2,1,1,14.3,4.6,2,4.624666667,17,998000
Project 300,220,105,20,3760000,2,1,2,2,1,3,2,2,1,2,3950,18,5600,1,3,2,1,2,17.9,15.13333333,2,15.10033333,14,853750
Project 301,220,100,10,3240000,2,1,2,2,2,3,1,1,2,1,3500,11,4850,3,3,2,2,2,19.63333333,14.93333333,2,14.928,9,675000
Project 302,230,100,9,4340000,2,2,2,1,2,3,1,2,2,2,3600,11,5150,3,2,2,2,2,18.23333333,12.96666667,2,12.985,4,702000
Project 303,235,120,10,5290000,2,1,2,2,2,3,2,2,1,2,3700,12,5250,3,2,1,1,2,17.5,14.56666667,2,14.573,6,824500
Project 304,240,115,11,3340000,2,1,2,1,2,3,2,2,1,1,2750,13,3950,1,1,1,1,2,15.4,18.76666667,1,18.753,7,629250
Project 305,210,105,16,2340000,1,2,2,1,2,3,1,2,2,1,2200,11,3250,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,10,505250
Project 306,180,90,10,1340000,1,1,2,1,2,2,1,1,1,1,2150,13,3100,1,1,1,1,2,13.06666667,12.2,2,12.181,6,441000
Project 307,210,105,14,3340000,2,2,2,2,2,3,1,2,2,2,3700,11,5050,3,2,1,1,2,17.5,14.56666667,2,14.573,5,728500
Project 308,230,120,7,2340000,1,2,2,1,2,3,2,1,2,3,3900,9,5300,3,2,1,1,2,17.53333333,13.76666667,2,13.742,6,835500
Project 309,310,110,7,4340000,2,2,2,1,2,3,2,2,2,3,3900,10,5500,1,1,1,1,2,17.53333333,13.76666667,2,13.742,6,800000
Project 310,310,85,14,4340000,2,1,2,2,2,2,1,1,1,2,4000,11,5650,1,2,1,1,2,16.66666667,12.16666667,2,12.16,9,671250
Project 311,220,110,17,2290000,1,1,2,1,2,2,2,2,1,2,2750,12,3950,1,3,1,1,2,15.4,18.76666667,1,18.753,12,615000
Project 312,290,150,22,4290000,2,2,2,1,2,4,4,2,1,3,3700,15,5450,3,2,1,1,2,17.5,14.56666667,2,14.573,14,1030000
Project 313,300,150,22,4440000,2,1,2,2,2,4,4,1,1,3,4000,13,5850,3,2,1,1,2,16.66666667,12.16666667,3,12.16,12,1100000
Project 314,310,160,12,4640000,2,1,2,1,2,4,4,1,1,3,3700,11,5450,3,3,2,2,2,17.5,14.56666667,2,14.573,10,1080000
Project 315,230,120,14,5640000,2,2,2,2,2,3,3,2,2,3,4000,12,5850,3,2,1,1,2,16.66666667,12.16666667,3,12.16,11,901500
Project 316,230,120,17,4640000,2,1,2,2,2,3,3,2,1,2,3800,13,5600,3,2,2,2,2,17.9,15.13333333,1,15.10033333,9,879500
Project 317,230,120,17,4940000,2,1,2,1,2,3,3,2,1,2,3700,13,5450,3,2,2,2,2,17.5,14.56666667,1,14.573,12,852000
Project 318,250,130,17,5340000,2,2,2,1,2,3,3,2,2,3,4100,11,6000,3,3,2,2,2,15.96666667,7,3,6.962666667,7,963000
Project 319,230,120,22,4340000,2,1,2,1,2,3,2,2,2,2,3700,11,5450,3,3,2,2,2,17.5,14.56666667,2,14.573,10,857500
Project 320,290,150,17,4290000,2,2,2,2,2,4,3,2,1,1,2150,13,3450,3,2,1,1,2,13.06666667,12.2,2,12.181,9,766000
Project 321,290,150,17,3290000,2,1,2,2,2,4,3,2,1,3,3050,11,4450,3,2,1,1,2,17.23333333,30.33333333,2,30.31233333,8,983000
Project 322,270,140,12,2490000,1,2,2,2,2,4,2,1,1,3,3900,14,5500,3,2,1,1,2,17.53333333,13.76666667,2,13.742,10,979000
Project 323,210,110,9,3490000,2,2,2,1,2,3,2,2,1,3,4000,14,5650,3,1,1,1,2,16.66666667,12.16666667,2,12.16,6,815000
Project 324,200,100,10,2590000,2,1,2,1,2,3,1,1,1,2,3800,11,5400,3,1,1,1,2,17.9,15.13333333,2,15.10033333,5,729000
Project 325,200,100,10,3590000,2,1,2,1,2,3,2,1,1,2,3600,9,5150,3,1,2,2,2,18.23333333,12.96666667,2,12.985,9,847500
Project 326,220,100,10,2590000,1,1,2,1,2,3,1,2,1,1,1950,10,3100,3,1,1,2,2,11.56666667,11.83333333,2,11.82166667,6,609000
Project 327,220,100,12,3700000,2,1,2,1,2,3,1,2,1,2,2000,13,3150,3,1,1,2,2,11.66666667,8.5,2,8.489,7,813500
Project 328,260,120,27,2640000,1,2,2,2,2,3,2,2,2,3,4200,13,6350,3,1,2,1,1,14.3,4.6,2,4.62,17,973000
Project 329,230,115,20,3640000,2,1,2,2,1,3,2,2,1,2,3800,16,5400,1,3,2,1,2,17.9,15.13333333,2,15.10033333,14,828750
Project 330,215,110,16,3240000,2,1,2,2,1,3,2,2,1,1,1700,16,2750,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,12,515000
Project 331,185,90,22,2240000,1,1,2,2,1,2,2,2,1,1,1700,16,2950,1,3,2,1,2,11.76666667,10.33333333,2,10.51433333,17,473000
Project 332,210,90,14,3340000,1,2,1,1,2,2,1,1,1,1,1900,15,2800,1,2,1,1,2,11.63333333,10.6,2,10.575,22,445000
Project 333,210,130,16,3240000,2,1,1,2,2,3,3,2,2,3,2750,16,4400,3,3,2,2,1,15.4,18.76666667,1,18.753,12,795000
Project 334,330,120,17,3290000,2,1,2,2,2,3,2,2,1,3,4000,11,5650,1,3,2,2,1,16.66666667,12.16666667,2,12.16,14,890500
Project 335,280,130,26,2040000,1,1,2,1,1,3,2,1,1,3,4200,10,5900,1,3,2,1,1,14.3,4.6,2,4.624666667,17,975000
Project 336,200,105,32,3940000,2,2,2,2,2,3,1,1,1,2,3900,13,5100,2,2,1,1,2,17.53333333,13.76666667,2,13.742,18,733250
Project 337,250,120,27,3640000,2,1,2,1,1,3,2,2,1,2,2900,12,4250,2,2,2,2,2,16.53333333,29.73333333,1,29.76633333,22,720000
Project 338,230,120,16,3390000,2,2,2,1,2,3,2,1,1,2,3200,13,3950,1,1,1,1,2,19.23333333,32.16666667,1,32.15333333,10,687000
Project 339,250,125,18,3890000,2,2,1,2,1,3,2,2,2,2,3700,15,5650,3,2,1,1,2,17.5,14.56666667,2,14.573,12,915000
Project 340,240,125,12,3840000,2,1,2,1,2,3,2,2,1,2,2050,11,3200,3,1,2,2,2,11.63333333,10.63333333,3,10.61366667,8,891250
Project 341,190,100,14,3540000,2,2,2,1,2,3,1,2,1,1,2100,13,3250,3,1,2,2,2,12.1,9.4,3,9.414666667,9,831500
Project 342,190,100,17,2540000,1,1,2,1,2,3,2,1,1,2,2150,14,3350,3,1,1,1,2,13.06666667,12.2,2,12.181,10,840500
Project 343,190,100,10,3290000,2,1,2,1,2,3,2,1,1,3,2750,11,4100,3,1,2,1,2,15.4,18.76666667,1,18.753,7,926000
Project 344,190,100,11,3290000,2,1,2,1,2,3,2,1,1,3,2900,11,4250,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,9,962000
Project 345,220,110,10,3290000,2,1,2,1,2,3,2,1,1,3,2900,11,4250,3,1,2,1,2,16.53333333,29.73333333,1,29.76633333,9,1005000
Project 346,220,110,10,2290000,1,1,2,1,2,3,1,1,1,3,1800,11,2900,3,1,2,1,2,11.86666667,11.2,1,11.21833333,11,810000
Project 347,220,110,10,2290000,1,1,2,1,2,3,2,1,1,2,1800,13,2900,3,1,2,1,2,11.86666667,11.2,3,11.21833333,10,810000
Project 348,240,125,15,3380000,2,1,2,1,2,3,3,1,1,2,1750,11,2850,3,1,2,1,2,11.43333333,8.433333333,3,8.437666667,8,839500
Project 349,250,130,17,3590000,2,1,2,1,2,3,2,1,1,2,1900,11,3000,3,1,1,1,2,11.63333333,10.6,3,10.575,8,887000
Project 350,250,130,20,3790000,2,2,2,2,2,3,3,2,2,2,1950,12,3100,3,1,1,2,2,11.56666667,11.83333333,3,11.82166667,10,899000
Project 351,210,90,6,4100000,2,2,2,1,2,2,1,2,2,1,3300,11,4800,3,2,2,2,2,18.23333333,12.96666667,2,12.985,7,587000
Project 352,215,110,7,5250000,2,1,2,2,2,3,2,2,1,2,3400,12,4900,3,2,1,1,2,17.5,14.56666667,2,14.573,9,709500
Project 353,220,105,8,3300000,2,1,2,1,2,3,2,2,1,2,2450,13,3600,1,1,1,1,2,15.4,18.76666667,1,18.753,10,514250
Project 354,190,95,13,2300000,1,2,2,1,2,2,1,2,2,1,1900,11,2900,1,2,1,1,2,13.83333333,14.53333333,1,14.51866667,13,390250
Project 355,160,80,7,1300000,1,1,2,1,2,2,1,1,1,1,1850,13,2750,1,1,1,1,2,13.06666667,12.2,2,12.181,9,426000
Project 356,190,95,11,3300000,2,2,2,2,2,2,1,2,2,2,3400,11,4700,3,2,1,1,2,17.5,14.56666667,2,14.573,8,613500
Project 357,210,110,4,2300000,1,2,2,1,2,3,2,1,2,2,3600,9,4950,3,2,1,1,2,17.53333333,13.76666667,2,13.742,9,720500
Project 358,290,100,4,4300000,2,2,2,1,2,3,2,2,2,1,3600,10,5150,1,1,1,1,2,17.53333333,13.76666667,2,13.742,9,685000
Project 359,290,75,11,4300000,2,1,2,2,2,2,1,1,1,1,3700,11,5300,1,2,1,1,2,16.66666667,12.16666667,2,12.16,12,556250
Project 360,200,100,14,2250000,1,1,2,1,2,2,3,2,1,2,2450,12,3600,1,3,1,1,2,15.4,18.76666667,1,18.753,15,500000
Project 361,270,140,19,4250000,2,2,2,1,2,4,3,2,1,3,3400,15,5100,3,2,1,1,2,17.5,14.56666667,2,14.573,17,915000
Project 362,280,140,19,4400000,2,1,2,2,2,4,3,1,1,3,3700,13,5500,3,2,1,1,2,16.66666667,12.16666667,3,12.16,15,985000
